2022-10-15 23:31:17.301545,0x0010 8
2022-10-15 23:31:17.437207,0x0000 8
2022-10-15 23:31:20.270003,0x0010 8
2022-10-15 23:31:20.405639,0x0000 8
2022-10-15 23:31:21.381786,0x0010 8
2022-10-15 23:31:21.517879,0x0000 8
2022-10-15 23:31:24.445592,0x0002 8 80 a7
2022-10-15 23:31:24.461577,0x0002 8 7d a8
2022-10-15 23:31:24.477192,0x0002 8 7c a9
2022-10-15 23:31:24.485172,0x0002 8 7b ab
2022-10-15 23:31:24.501156,0x0002 8 79 ae
2022-10-15 23:31:24.517087,0x0002 8 77 af
2022-10-15 23:31:24.541049,0x0002 8 76 af
2022-10-15 23:31:24.557205,0x0002 8 77 af
2022-10-15 23:31:24.565185,0x0002 8 75 b0
2022-10-15 23:31:24.581142,0x0002 8 76 af
2022-10-15 23:31:24.597099,0x0002 8 75 af
2022-10-15 23:31:24.605077,0x0002 8 76 b0
2022-10-15 23:31:24.621034,0x0002 8 75 b0
2022-10-15 23:31:24.717923,0x0002 8 76 b0
2022-10-15 23:31:24.805688,0x0002 8 75 af
2022-10-15 23:31:24.821211,0x0002 8 75 b0
2022-10-15 23:31:24.845147,0x0002 8 75 af
2022-10-15 23:31:25.109438,0x0002 8 75 b0
2022-10-15 23:31:25.125050,0x0002 8 75 af
2022-10-15 23:31:25.261679,0x0002 8 76 af
2022-10-15 23:31:25.269083,0x0002 8 75 af
2022-10-15 23:31:25.309975,0x0002 8 75 b0
2022-10-15 23:31:25.325957,0x0002 8 7e b8
2022-10-15 23:31:25.341104,0x0002 8 83 c7
2022-10-15 23:31:25.349083,0x0002 8 86 db
2022-10-15 23:31:25.366038,0x0002 8 8d ec
2022-10-15 23:31:25.381228,0x0002 8 aa ff
2022-10-15 23:31:25.389727,0x0002 8 b8 ff
2022-10-15 23:31:25.405701,0x0002 8 c1 ff
2022-10-15 23:31:25.421194,0x0002 8 cc ff
2022-10-15 23:31:25.429194,0x0002 8 cc fe
2022-10-15 23:31:25.462085,0x0002 8 cc fd
2022-10-15 23:31:25.469064,0x0002 8 cb fe
2022-10-15 23:31:25.485021,0x0002 8 ca ff
2022-10-15 23:31:25.501975,0x0002 8 c7 ff
2022-10-15 23:31:25.509954,0x0002 8 c4 ff
2022-10-15 23:31:25.525107,0x0002 8 c2 ff
2022-10-15 23:31:25.549044,0x0002 8 c1 ff
2022-10-15 23:31:25.565066,0x0002 8 c0 ff
2022-10-15 23:31:25.590001,0x0002 8 bf ff
2022-10-15 23:31:25.605956,0x0002 8 be ff
2022-10-15 23:31:25.613935,0x0002 8 be fe
2022-10-15 23:31:25.629892,0x0002 8 be ff
2022-10-15 23:31:25.645878,0x0002 8 be fe
2022-10-15 23:31:25.661836,0x0002 8 be ff
2022-10-15 23:31:25.669189,0x0002 8 be fe
2022-10-15 23:31:25.685681,0x0002 8 be ff
2022-10-15 23:31:25.693660,0x0002 8 bd ff
2022-10-15 23:31:25.709181,0x0002 8 bc fe
2022-10-15 23:31:25.725138,0x0002 8 bc ff
2022-10-15 23:31:25.733143,0x0002 8 ba ff
2022-10-15 23:31:25.749216,0x0002 8 ba fe
2022-10-15 23:31:25.765174,0x0002 8 b9 fe
2022-10-15 23:31:25.781102,0x0002 8 b8 ff
2022-10-15 23:31:25.789648,0x0002 8 ba ff
2022-10-15 23:31:25.805605,0x0002 8 ba fe
2022-10-15 23:31:25.813751,0x0002 8 b9 ff
2022-10-15 23:31:25.829718,0x0002 8 b8 ff
2022-10-15 23:31:25.845246,0x0002 8 b8 fe
2022-10-15 23:31:25.856730,0x0002 8 b7 fe
2022-10-15 23:31:25.872862,0x0002 8 b8 fe
2022-10-15 23:31:25.890038,0x0002 8 b9 fe
2022-10-15 23:31:25.906986,0x0002 8 b7 fe
2022-10-15 23:31:25.923642,0x0002 8 b8 fe
2022-10-15 23:31:25.949959,0x0002 8 b9 fe
2022-10-15 23:31:25.965538,0x0002 8 b7 fe
2022-10-15 23:31:25.973512,0x0002 8 b6 ff
2022-10-15 23:31:25.990189,0x0002 8 b5 fe
2022-10-15 23:31:26.006494,0x0002 8 b5 ff
2022-10-15 23:31:26.023408,0x0002 8 b3 ff
2022-10-15 23:31:26.039522,0x0002 8 b1 ff
2022-10-15 23:31:26.056372,0x0002 8 ae fe
2022-10-15 23:31:26.073655,0x0002 8 ae ff
2022-10-15 23:31:26.090042,0x0002 8 a8 ff
2022-10-15 23:31:26.106899,0x0002 8 a5 ff
2022-10-15 23:31:26.123039,0x0002 8 a4 ff
2022-10-15 23:31:26.139879,0x0002 8 9a ff
2022-10-15 23:31:26.156873,0x0002 8 9a fe
2022-10-15 23:31:26.172863,0x0002 8 97 ff
2022-10-15 23:31:26.189783,0x0002 8 89 ff
2022-10-15 23:31:26.206973,0x0002 8 81 ff
2022-10-15 23:31:26.222965,0x0002 8 80 ff
2022-10-15 23:31:26.239886,0x0002 8 7f fe
